bran¿a|lokalizacja|p³eæ|id|Wiek Zatrudnionych|Przedzia³ wiekowy
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|15-24 lat|9223
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|25-34 lat|18168
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|35-44 lat|26442
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|45-54 lat|31696
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|55-64 lat|13427
Rolnictwo, ³owiectwo i leœnictwo|miasta|m|1|65 i starsi|7736
Rybo³ówstwo i rybactwo|miasta|m|2|15-24 lat|258
Rybo³ówstwo i rybactwo|miasta|m|2|25-34 lat|984
Rybo³ówstwo i rybactwo|miasta|m|2|35-44 lat|1558
Rybo³ówstwo i rybactwo|miasta|m|2|45-54 lat|2421
Rybo³ówstwo i rybactwo|miasta|m|2|55-64 lat|380
Rybo³ówstwo i rybactwo|miasta|m|2|65 i starsi|64
Górnictwo i kopalnictwo|miasta|m|3|15-24 lat|3722
Górnictwo i kopalnictwo|miasta|m|3|25-34 lat|37409
Górnictwo i kopalnictwo|miasta|m|3|35-44 lat|69346
Górnictwo i kopalnictwo|miasta|m|3|45-54 lat|35418
Górnictwo i kopalnictwo|miasta|m|3|55-64 lat|4618
Górnictwo i kopalnictwo|miasta|m|3|65 i starsi|181
Przetwórstwo przemys³owe|miasta|m|4|15-24 lat|106368
Przetwórstwo przemys³owe|miasta|m|4|25-34 lat|295239
Przetwórstwo przemys³owe|miasta|m|4|35-44 lat|263605
Przetwórstwo przemys³owe|miasta|m|4|45-54 lat|289759
Przetwórstwo przemys³owe|miasta|m|4|55-64 lat|69358
Przetwórstwo przemys³owe|miasta|m|4|65 i starsi|9886
Wytwarzanie i zaopatrywanie w energiê elektryczn¹, gaz i wodê|miasta|m|5|15-24 lat|3510
Wytwarzanie i zaopatrywanie w energiê elektryczn¹, gaz i wodê|miasta|m|5|25-34 lat|28297
Wytwarzanie i zaopatrywanie w energiê elektryczn¹, gaz i wodê|miasta|m|5|35-44 lat|40201
Wytwarzanie i zaopatrywanie w energiê elektryczn¹, gaz i wodê|miasta|m|5|45-54 lat|41854
